Measure	Notes	Position	Category	Group
1	2	0	3	A
1	2	0.166667	3	A
1	4	0.333333	3	A
1	2	0.5	3	A
1	2	0.666667	3	A
1	1	0.75	3	A
1	1	0.833333	3	A
2	2	1	3	A
2	0	1.16667	3	A
2	0	1.16667	3	A
2	1	1.16667	3	A
2	0	1.25	3	A
2	1	1.25	3	A
2	0	1.33333	3	A
2	2	1.33333	3	A
2	0	1.5	3	A
2	0	1.5	3	A
2	2	1.5	3	A
2	1	1.66667	3	A
2	1	1.75	3	A
2	2	1.83333	3	A
3	2	2	3	A
3	1	2.16667	3	A
3	2	2.33333	3	A
3	1	2.5	3	A
3	1	2.66667	3	A
3	1	2.75	3	A
3	2	2.83333	3	A
4	2	3	3	A
4	0	3.16667	3	A
4	0	3.16667	3	A
4	1	3.16667	3	A
4	0	3.25	3	A
4	1	3.25	3	A
4	0	3.33333	3	A
4	2	3.33333	3	A
4	0	3.5	3	A
4	0	3.5	3	A
4	2	3.5	3	A
4	1	3.66667	3	A
4	1	3.75	3	A
4	2	3.83333	3	A
