Measure	NotesA	Position	NotesB	Category
1	2	0	0	3
1	2	8	0	3
1	4	16	0	3
1	2	24	0	3
1	2	32	0	3
1	1	36	0	3
1	1	40	0	3
2	2	48	1	3
2	0	51	1	3
2	0	54	1	3
2	1	56	0	3
2	0	57	1	3
2	1	60	1	3
2	0	63	1	3
2	2	64	0	3
2	0	66	1	3
2	0	69	1	3
2	2	72	0	3
2	1	80	0	3
2	1	84	0	3
2	2	88	0	3
3	2	96	0	3
3	1	104	0	3
3	2	112	0	3
3	1	120	0	3
3	1	128	0	3
3	1	132	0	3
3	2	136	0	3
4	2	144	1	3
4	0	147	1	3
4	0	150	1	3
4	1	152	0	3
4	0	153	1	3
4	1	156	1	3
4	0	159	1	3
4	2	160	0	3
4	0	162	1	3
4	0	165	1	3
4	2	168	0	3
4	1	176	0	3
4	1	180	0	3
4	2	184	0	3
1	2	0	0	1
1	1	8	0	1
2	2	48	0	1
2	1	72	0	1
3	2	96	0	1
3	1	120	0	1
4	2	144	0	1
4	1	168	0	1
1	1	8	0	2
1	1	16	0	2
1	1	24	0	2
1	1	32	0	2
2	1	56	0	2
2	1	64	0	2
2	1	80	0	2
2	1	88	0	2
3	1	104	0	2
3	1	112	0	2
3	1	128	0	2
3	1	136	0	2
4	1	152	0	2
4	1	160	0	2
4	1	176	0	2
4	1	184	0	2
		0		
		1		
		2		
		3		
		4		
		5		
		6		
		7		
		8		
		9		
		10		
		11		
		12		
		13		
		14		
		15		
		16		
		17		
		18		
		19		
		20		
		21		
		22		
		23		
		24		
		25		
		26		
		27		
		28		
		29		
		30		
		31		
		32		
		33		
		34		
		35		
		36		
		37		
		38		
		39		
		40		
		41		
		42		
		43		
		44		
		45		
		46		
		47		
		48		
		49		
		50		
		51		
		52		
		53		
		54		
		55		
		56		
		57		
		58		
		59		
		60		
		61		
		62		
		63		
		64		
		65		
		66		
		67		
		68		
		69		
		70		
		71		
		72		
		73		
		74		
		75		
		76		
		77		
		78		
		79		
		80		
		81		
		82		
		83		
		84		
		85		
		86		
		87		
		88		
		89		
		90		
		91		
		92		
		93		
		94		
		95		
		96		
		97		
		98		
		99		
		100		
		101		
		102		
		103		
		104		
		105		
		106		
		107		
		108		
		109		
		110		
		111		
		112		
		113		
		114		
		115		
		116		
		117		
		118		
		119		
		120		
		121		
		122		
		123		
		124		
		125		
		126		
		127		
		128		
		129		
		130		
		131		
		132		
		133		
		134		
		135		
		136		
		137		
		138		
		139		
		140		
		141		
		142		
		143		
		144		
		145		
		146		
		147		
		148		
		149		
		150		
		151		
		152		
		153		
		154		
		155		
		156		
		157		
		158		
		159		
		160		
		161		
		162		
		163		
		164		
		165		
		166		
		167		
		168		
		169		
		170		
		171		
		172		
		173		
		174		
		175		
		176		
		177		
		178		
		179		
		180		
		181		
		182		
		183		
		184		
